Song,Artist,Album
You Oughta Know,Alanis Morissette,Jagged Little Pill
Genesis,Armors,Genesis
Bhaag D.K. Bose,Ram Sampath,Delhi Belly
Bury A Friend,Billie Eillish,"When We Fall Asleep, Where Do We Go?"
Before He Cheats,Carrie Underwood,Some Hearts
.New Rules,Dua Lipa,Dua Lipa: Complete Edition
Holdin On,Flume,Flume (Deluxe Edition)
Given Up,Linkin Park,Minutes To Midnight
Hell no,Ingrid Michaelson,Ingrid Michaelson
Breaking the Rules,Jack Savoretti,Before the Storm
Jee Karda,Divya Kumar,Badlapur
Since U Been Gone,Kelly Clarkson,Breakaway
Take the Power Back,Rage Against the Machine,Rage Against the Machine
You Don't Own Me,Saygrace ft. G-Eazy,"The Dome, Volume 74"
Don't Let Me Down,The Chainsmokers ft. Daya,Collage
Female Robbery,The Neighbourhood,I Love You
Dreamin,The Source ft. Blackbear,Pressure
Bulleya,Pritam Chakraborty,Ae Dil Hai Muskil
