Song,artist,album
Dynamite,BTS,Dynamite (Remix)
Chogada,"Darshan raval, Asees Kaur",LoveYatri
Chahun Main Ya Naa,"Arijit Singh, Palak Muchhal",Aashiqui 2
Hymn for the Weekend,Coldplay ft. Beyonce,Seventh Studio
Gudugudiya Sedi Nodo,Raghu Dixit,Raghu Dixit
Lahore,Guru Randhawa,Punjabi Blockbusters 2017
My Universe,"Coldplay, BTS",Music of the Spheres
Dekhore Dekhore,Mano,Simhada Mari
Levitating,Dua Lipa ft. DaBaby,Future Nostalgia
We're Good,Dua Lipa,Future Nostalgia
On Top Of The World,Imagine Dragons,Night Visions
Nodi Swamy Navirodu Hige,S. P. Balasubrahmanyam,Nodi Swamy Navirode Hige
I Like Me Better,Lauv,Lauv Ep
Chammak Challo,"Akon, Hamsika Iyer",Ra. One
Makhna,"Tanishk Bagchi, Asees Kaur, Yasser Desai",Drive
Good Life,OneRepublic,Waking Up
Manikya Malaraya Poovi,Vineeth Sreenivasan,Oru Adaar Love
Happy,Pharrell Williams,Happy
London Thumakda,"Sonu Kakkar, Neha kakkar, Labh Janjua",Queen
Love Story,Taylor Swift,Fearless
Here Comes The Sun,The Beatles,Abbey Road
Masthu Masthu Hudugi,S. P. Balasubrahmanyam,Upendra
Vaaste,"Dhvani Bhanushali, Nikhil D'Souza",Top 20 Most viewed Songs Of the Decade (2010-2019)
Yeh Fitoor Mera,Arijit Singh ,Fitoor
