Song,Artist,Album
Sawan Aaya Hai,Arijith Singh,Creature
Brown Rang,Yo Yo Honey Singh,International villager
Geleya Geleya,Jr. NTR,Chakravyuha
Chikni Chameli,Shreya Ghoshal,Agneepath
Akasam Ammayaithe,"Gopika Poornima, Shankar Madaevan",Gabbar singh
Gudugudiya Sedi Nodo,Raghu Dixit,Raghu Dixit
Naguva Nayana,"S Janaki, S P Balasubrahmanyam",Pallavi Anu Pallavi
Life goes on,Oliver Tree,Ugly is Beautiful
Mee intiki Mundhu,"Ranina Reddy, Sagar",Julayi
Gone Gone Gone,Phillip Phillips,The world from the side of the moon
Boochade Boochade,"Sheya Ghoshal, S. Thaman, Rahul Nambiar",Race Gurram
Zara Zara X Cradle Vaseegara,Bombay Jayashri,rehnaa Hai Terre Dil mein
